Idade,Genero,Salario_Anual,Estado_Civil,Numero_Filhos,Aquisicao_Casa,Nivel_Ensino Médio,Nivel_Ensino Superior,Nivel_Mestrado,Nivel_Tecnólogo
25,0,55000,1,0,0,0,1,0,0
48,0,87500,0,1,1,0,0,0,0
26,0,55000,0,1,1,0,1,0,0
39,0,62500,0,2,1,0,1,0,0
35,0,90000,0,1,1,0,0,0,0
25,0,55000,1,0,0,0,1,0,0
48,0,82500,0,1,1,0,0,0,0
48,0,82500,0,1,1,0,0,0,0
36,0,95000,0,2,1,0,0,1,0
36,0,95000,0,1,1,1,0,0,0
36,1,50000,1,0,0,1,0,0,0
36,0,27500,1,0,0,1,0,0,0
36,1,95000,1,0,1,0,0,1,0
50,1,160000,0,0,1,0,0,1,0
29,0,25000,1,0,0,1,0,0,0
30,1,105000,0,2,1,0,0,1,0
32,1,85000,1,0,0,0,0,1,0
27,0,37500,1,0,0,1,0,0,0
36,1,130000,0,0,1,1,0,0,0
36,0,85000,0,1,1,0,0,0,0
37,0,75000,0,2,1,0,1,0,0
36,0,30000,1,0,0,0,0,0,1
36,0,35000,1,0,0,1,0,0,0
36,1,105000,1,0,1,0,0,0,0
35,0,80000,0,1,1,0,0,0,0
38,0,67500,0,2,1,0,1,0,0
50,1,162500,0,0,1,0,0,1,0
44,1,87500,1,0,1,0,0,1,0
34,1,105000,0,1,0,0,1,0,0
34,1,47500,1,0,0,0,0,0,1
45,0,105000,0,3,1,0,1,0,0
52,1,135000,0,0,1,1,0,0,0
35,0,85000,0,1,1,0,0,0,0
36,1,125000,0,0,1,0,0,0,1
35,0,75000,0,1,1,0,0,0,0
30,1,117500,0,2,1,0,0,1,0
47,0,90000,0,1,1,0,0,0,0
32,1,57500,1,0,0,0,0,0,1
36,0,90000,0,2,1,0,0,1,0
28,0,32500,1,0,0,0,0,0,1
39,0,60000,0,2,1,0,1,0,0
26,0,45000,1,0,0,0,0,0,1
29,0,27500,1,0,0,1,0,0,0
25,0,62500,1,0,0,0,1,0,0
29,0,68000,0,2,1,0,0,0,0
31,1,65000,1,0,0,0,1,0,0
36,1,92500,1,0,1,0,0,1,0
48,0,70000,0,1,1,0,0,0,0
30,1,117500,0,2,1,0,0,1,0
26,0,47500,1,0,0,0,0,0,1
